Candidate Number,Candidate,Coalition,Party,Twitter - Number of Mentions,Twitter - Number of Users,Twitter- Total Favorites,Twitter - Total Retweets,Twitter - Total Replies,Twitter - Percent News,Twitter - Percent Non-news,Facebook - Number of Candidate Posts,Facebook - Total Comments,Facebook - Total Shares,Facebook - Total Reactions,Political Party,Win,Cash Contributions Received from Other Sources,In-Kind Contributions Received from Other Sources,Cash Contributions Received from Political Party,In-Kind Contributions Received from Political Party,Total Contributions Received,Expenditures Paid Out of Personal Funds,Expenditures Paid Out of Cash Contributions,Expenditures Incurred Using In-Kind Contribution,Total Expenditures Incurred,Difference (Contribution less Expenditure),Unpaid Obligation / Balance,Travel Expenses,"Compensation of campaigners, etc.",Communications,"Stationery, Printing, and Distribution",Employment of Poll Watchers,"Rent, Maintenance, etc.",Political Meetings and Rallies,Pol Ads,Total SLE,Employment of Counsel,Copying and Classifying List of Voters,Printing of Sample Ballots,Total Expenditures,Difference Total in SCE minus Total SLE
16,Dan Roleda,UNA,UNA,200.0,76.0,859.0,184.0,89.0,0.23,0.78,173.0,1959.0,621087.0,7587027.0,United Nationalist Alliance,0.0,0.0,0.0,0.0,0.0,0.0,65607.35,0.0,0.0,65607.35,-65607.35,0.0,31976.45,0.0,0.0,0.0,0.0,0.0,0.0,33630.9,65607.35,0.0,0.0,0.0,65607.35,0.0
17,Doc Willie Ong,,Lakas,2674.0,1621.0,13076.0,2775.0,938.0,0.07,0.93,0.0,0.0,0.0,0.0,Lakas Mchristian Muslim Democrats,0.0,0.0,662764.29,0.0,0.0,662764.29,581283.21,0.0,662764.29,1244047.5,-581283.21,0.0,53484.2,105000.0,4299.01,408500.0,0.0,10000.0,0.0,0.0,581283.21,0.0,0.0,0.0,581283.21,662764.29
18,Dong Mangudadatu,HNP,PDP–Laban,449.0,255.0,4637.0,1575.0,320.0,0.11,0.89,67.0,4224.0,14390884.0,4818212.0,Partido Demokratiko Pilipino - Lakas ng Bayan,0.0,0.0,21316822.46,0.0,0.0,21316822.46,109502291.61,0.0,0.0,109502291.61,-88185469.15,0.0,11857147.41,5864442.38,785460.35,1319358.65,0.0,1119723.51,866791.78,87689367.54,109502291.62,0.0,0.0,0.0,109502291.62,-0.01
19,Elmer Francisco,,PFP,191.0,92.0,553.0,136.0,136.0,0.28,0.72,8.0,21.0,355.0,2756.0,Partido Federal ng Pilipinas,0.0,0.0,0.0,0.0,0.0,0.0,2911318.25,0.0,0.0,2911318.25,-2911318.25,0.0,34673.13,1396000.0,200.0,100000.0,601500.0,739687.56,10500.0,28757.56,2911318.25,0.0,0.0,0.0,2911318.25,0.0
20,Emily Mallillin,KKK,Independent,72.0,25.0,155.0,41.0,50.0,0.4,0.6,21.0,42.0,563.0,1688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Erin Tañada,Otso Diretso,Liberal,9947.0,3906.0,261216.0,73574.0,9253.0,0.02,0.98,57.0,872.0,5035069.0,287110.0,Liberal Party,0.0,17000000.0,0.0,0.0,0.0,17000000.0,4299841.0,17000000.0,0.0,21299841.0,-4299841.0,0.0,166757.34,88400.0,51493.41,582037.5,0.0,16200.0,0.0,20349952.07,21254840.32,0.0,0.0,0.0,21254840.32,45000.68
22,Ernesto Arellano,,Independent,287.0,138.0,1464.0,367.0,164.0,0.16,0.84,129.0,460.0,480628.0,146875.0,Independent,0.0,467500.0,823996.21,0.0,0.0,1291496.21,704380.77,467500.0,823996.21,1995876.98,-704380.77,0.0,446532.1,68373.0,15860.0,707065.98,0.0,90022.2,399823.7,268200.0,1995876.98,0.0,0.0,0.0,1995876.98,0.0
23,Faisal Mangondato,KKK,Independent,12.0,11.0,25.0,26.0,9.0,0.0,1.0,10.0,47.0,4642.0,3385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Francis Tolentino,HNP,PDP–Laban,1680.0,690.0,12743.0,3149.0,1356.0,0.06,0.94,44.0,2991.0,5411510.0,63607769.0,PDP - Lakas ng Bayan,1.0,112900000.0,0.0,0.0,0.0,112900000.0,46269836.54,112900000.0,0.0,159169836.54,-46269836.54,0.0,261322.76,0.0,65549.66,1885422.33,0.0,32171.56,6687.0,156856382.23,159107535.54,62301.0,0.0,0.0,159169836.54,62301.0
25,Freddie Aguilar,,Independent,1701.0,1157.0,46909.0,6913.0,1030.0,0.02,0.98,0.0,0.0,0.0,0.0,Partido Demokratiko Pilipino - Lakas ng Bayan,0.0,120900.0,0.0,0.0,0.0,120900.0,101900.0,120900.0,0.0,222800.0,-101900.0,0.0,0.0,0.0,0.0,222800.0,0.0,0.0,0.0,0.0,222800.0,0.0,0.0,0.0,222800.0,0.0
26,Gary Alejano,Otso Diretso,Liberal,10837.0,3776.0,211122.0,54493.0,11277.0,0.02,0.98,41.0,4492.0,24595043.0,13415606.0,Liberal Party,0.0,5500000.0,0.0,0.0,0.0,5500000.0,513225.53,5500000.0,0.0,6013225.53,-513225.53,0.0,0.0,0.0,78946.05,330063.05,0.0,0.0,0.0,5604216.43,6013225.53,0.0,0.0,0.0,6013225.53,0.0
27,Gen Pederalismo,KKK,Independent,65.0,21.0,62.0,13.0,15.0,0.0,1.0,55.0,228.0,216620.0,14726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Gerald Arcega,WPP,WPP,97.0,41.0,200.0,55.0,86.0,0.36,0.64,48.0,48.0,64.0,387.0,Labor Party Philippines,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,1300.0,-1300.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,1300.0,0.0
29,Glenn Chong,KDP,KDP,2943.0,1157.0,12566.0,3254.0,1403.0,0.01,0.99,46.0,723.0,1432566.0,4592004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Grace Poe,,Independent,4434.0,2493.0,52718.0,11349.0,6936.0,0.06,0.94,27.0,2300.0,4835147.0,4891182.0,Independent,1.0,156450000.0,0.0,0.0,0.0,156450000.0,0.0,156433463.8,0.0,156433463.8,16536.2,0.0,14778884.92,0.0,0.0,1286269.76,0.0,0.0,1927792.15,138440516.97,156433463.8,0.0,0.0,0.0,156433463.8,0.0
31,Imee Marcos,HNP,Nacionalista,9305.0,5922.0,315738.0,70221.0,11205.0,0.03,0.97,38.0,8644.0,192161400.0,17974976.0,Nacionalista Party,1.0,137560000.0,0.0,0.0,0.0,137560000.0,0.0,132146754.55,0.0,132146754.55,5413245.45,0.0,1460991.99,3200000.0,233716.26,2250000.0,0.0,225171.3,0.0,124776875.0,132146754.55,0.0,0.0,0.0,132146754.55,0.0
32,Jesus Caceres,KKK,Independent,459.0,336.0,2442.0,1069.0,275.0,0.05,0.95,0.0,0.0,0.0,0.0,independent,0.0,0.0,0.0,0.0,0.0,0.0,10578.0,0.0,0.0,10578.0,-10578.0,0.0,495.0,0.0,1295.0,8738.0,0.0,0.0,0.0,0.0,10528.0,0.0,0.0,0.0,10528.0,50.0
